tag,pde,n_feat,model,seed,source,t,centroid_model,hf_model,centroid_exact,hf_exact,centroid_err,abs_err
MS_burgers_n7_twin_s2025,burgers,7,twin,2025,MS,0.75,0.615820421928224,5.355624835848595e-07,0.6155906794316344,9.338412206059664e-07,0.00022974249658958001,0.00022974249658958001
MS_burgers_n7_twin_s2025,burgers,7,twin,2025,MS,1.0,0.6011522156301794,3.0771745715093164e-06,0.601216735606354,9.634290999399992e-07,-6.451997617462624e-05,6.451997617462624e-05
MS_burgers_n7_twin_s777,burgers,7,twin,777,MS,0.25,0.5522166974211926,1.5259774880131878e-06,0.5527385042446051,1.40434210757614e-06,-0.0005218068234125184,0.0005218068234125184
MS_burgers_n7_twin_s777,burgers,7,twin,777,MS,0.5,0.6098688107585106,9.528346467151513e-07,0.610342190741679,9.955402581416152e-07,-0.00047337998316832053,0.00047337998316832053
MS_burgers_n7_twin_s777,burgers,7,twin,777,MS,0.75,0.6156499176037579,9.026986504399282e-07,0.6155906794316344,9.338412206059664e-07,5.923817212349913e-05,5.923817212349913e-05
MS_burgers_n7_twin_s777,burgers,7,twin,777,MS,1.0,0.6009972521965751,5.388420570550373e-07,0.601216735606354,9.634290999399992e-07,-0.0002194834097789533,0.0002194834097789533
MS_burgers_n8_gaaf_s1234,burgers,8,gaaf,1234,MS,0.25,0.5522326662060328,1.3624378155061866e-06,0.5527385042446051,1.40434210757614e-06,-0.0005058380385722927,0.0005058380385722927
MS_burgers_n8_gaaf_s1234,burgers,8,gaaf,1234,MS,0.5,0.6099691659410162,9.261872318189318e-07,0.610342190741679,9.955402581416152e-07,-0.0003730248006627024,0.0003730248006627024
MS_burgers_n8_gaaf_s1234,burgers,8,gaaf,1234,MS,0.75,0.6156088346151748,8.783977972162134e-07,0.6155906794316344,9.338412206059664e-07,1.815518354042478e-05,1.815518354042478e-05
MS_burgers_n8_gaaf_s1234,burgers,8,gaaf,1234,MS,1.0,0.6013560501188007,1.2262757686862364e-06,0.601216735606354,9.634290999399992e-07,0.00013931451244664217,0.00013931451244664217
MS_burgers_n8_gaaf_s2025,burgers,8,gaaf,2025,MS,0.25,0.5522307952395001,1.4124999903024556e-06,0.5527385042446051,1.40434210757614e-06,-0.0005077090051049948,0.0005077090051049948
MS_burgers_n8_gaaf_s2025,burgers,8,gaaf,2025,MS,0.5,0.6099944952642438,1.0301013977987535e-06,0.610342190741679,9.955402581416152e-07,-0.0003476954774351837,0.0003476954774351837
MS_burgers_n8_gaaf_s2025,burgers,8,gaaf,2025,MS,0.75,0.6158287820648979,9.395834093680239e-07,0.6155906794316344,9.338412206059664e-07,0.000238102633263515,0.000238102633263515
MS_burgers_n8_gaaf_s2025,burgers,8,gaaf,2025,MS,1.0,0.6009842499753592,7.864711940351916e-07,0.601216735606354,9.634290999399992e-07,-0.00023248563099487196,0.00023248563099487196
MS_burgers_n8_gaaf_s777,burgers,8,gaaf,777,MS,0.25,0.552464721915688,1.4210552781136219e-06,0.5527385042446051,1.40434210757614e-06,-0.00027378232891717147,0.00027378232891717147
MS_burgers_n8_gaaf_s777,burgers,8,gaaf,777,MS,0.5,0.6102424354999575,1.011876665506043e-06,0.610342190741679,9.955402581416152e-07,-9.975524172145533e-05,9.975524172145533e-05
MS_burgers_n8_gaaf_s777,burgers,8,gaaf,777,MS,0.75,0.6155462053514978,9.513209104784477e-07,0.6155906794316344,9.338412206059664e-07,-4.4474080136525096e-05,4.4474080136525096e-05
MS_burgers_n8_gaaf_s777,burgers,8,gaaf,777,MS,1.0,0.6014773339547588,8.090779446562309e-07,0.601216735606354,9.634290999399992e-07,0.00026059834840475027,0.00026059834840475027
MS_burgers_n8_twin_s1234,burgers,8,twin,1234,MS,0.25,0.5525008114813449,1.205615756030167e-06,0.5527385042446051,1.40434210757614e-06,-0.00023769276326024436,0.00023769276326024436
MS_burgers_n8_twin_s1234,burgers,8,twin,1234,MS,0.5,0.609946858037807,9.543156386864513e-07,0.610342190741679,9.955402581416152e-07,-0.0003953327038719312,0.0003953327038719312
MS_burgers_n8_twin_s1234,burgers,8,twin,1234,MS,0.75,0.6160700494754877,1.2356000807059731e-06,0.6155906794316344,9.338412206059664e-07,0.00047937004385334436,0.00047937004385334436
MS_burgers_n8_twin_s1234,burgers,8,twin,1234,MS,1.0,0.6010320276337646,1.5270280028371033e-06,0.601216735606354,9.634290999399992e-07,-0.00018470797258940408,0.00018470797258940408
MS_burgers_n8_twin_s2025,burgers,8,twin,2025,MS,0.25,0.5523333839376835,1.4633897682700864e-06,0.5527385042446051,1.40434210757614e-06,-0.0004051203069216358,0.0004051203069216358
