tag,path,family,nu,pde,model,n_feat,seed,retry,note,dead,n_steps,loss_first,loss_final,loss_min,mse_u_final,mse_f_final,wall_s,L2,params
MS_burgers_n4_gaaf_s2025,WISER Results/Phase 2/Djabon Phase 2/Additionnal computations/GAAF-PINN/qapinn_runs_gaaf/checkpoints/MS_burgers_n4_gaaf_s2025.pt,MS,0.05,burgers,gaaf,4,2025,False,,False,1005,3.4036102294921875,0.3815934360027313,0.3815934360027313,0.019286513328552246,0.18872830271720886,nan,nan,nan
MS_burgers_n4_gaaf_s2025_r1,WISER Results/Phase 2/Djabon Phase 2/Additionnal computations/GAAF-PINN/qapinn_runs_gaaf/checkpoints/MS_burgers_n4_gaaf_s2025_r1.pt,MS,0.05,burgers,gaaf,4,2025,True,,False,1005,6.12370491027832,1.8182086932938546e-05,1.8182086932938546e-05,1.9721940702766005e-07,1.620989314687904e-05,nan,0.0008378243,1827.0
MS_burgers_n4_gaaf_s777,WISER Results/Phase 2/Djabon Phase 2/Additionnal computations/GAAF-PINN/qapinn_runs_gaaf/checkpoints/MS_burgers_n4_gaaf_s777.pt,MS,0.05,burgers,gaaf,4,777,False,,False,1005,9.098414421081543,0.37674933671951294,0.37674933671951294,0.019198620691895485,0.18476314842700958,nan,nan,nan
MS_burgers_n4_gaaf_s777_r1,WISER Results/Phase 2/Djabon Phase 2/Additionnal computations/GAAF-PINN/qapinn_runs_gaaf/checkpoints/MS_burgers_n4_gaaf_s777_r1.pt,MS,0.05,burgers,gaaf,4,777,True,,False,1005,3.3910651206970215,1.7596350517123938e-05,1.7596350517123938e-05,1.7066490443085058e-07,1.5889701899141073e-05,nan,0.00148488,1827.0
MS_burgers_n4_twin_s1234,WISER Results/Phase 2/Djabon Phase 2/Additionnal computations/GAAF-PINN/qapinn_runs_gaaf/checkpoints/MS_burgers_n4_twin_s1234.pt,MS,0.05,burgers,twin,4,1234,False,,False,1005,2.5203793048858643,3.53770301444456e-05,3.53770301444456e-05,4.46180166591148e-07,3.091522739850916e-05,nan,0.001031449,1827.0
MS_burgers_n4_twin_s2025,WISER Results/Phase 2/Djabon Phase 2/Additionnal computations/GAAF-PINN/qapinn_runs_gaaf/checkpoints/MS_burgers_n4_twin_s2025.pt,MS,0.05,burgers,twin,4,2025,False,,False,1005,3.4036102294921875,0.006590989418327808,0.006590989418327808,0.00013294356176629663,0.005261553917080164,nan,0.02247455,1827.0
MS_burgers_n4_twin_s777,WISER Results/Phase 2/Djabon Phase 2/Additionnal computations/GAAF-PINN/qapinn_runs_gaaf/checkpoints/MS_burgers_n4_twin_s777.pt,MS,0.05,burgers,twin,4,777,False,,False,1005,9.098414421081543,0.007426936645060778,0.007426936645060778,0.0001306497142650187,0.0061204396188259125,nan,0.02376678,1827.0
MS_burgers_n5_gaaf_s1234,WISER Results/Phase 2/Djabon Phase 2/Additionnal computations/GAAF-PINN/qapinn_runs_gaaf/checkpoints/MS_burgers_n5_gaaf_s1234.pt,MS,0.05,burgers,gaaf,5,1234,False,,False,1005,2.5508084297180176,1.8917391571449116e-05,1.8917391571449116e-05,1.4238413825751195e-07,1.7493550330982544e-05,nan,0.001351651,1853.0
MS_burgers_n5_gaaf_s2025,WISER Results/Phase 2/Djabon Phase 2/Additionnal computations/GAAF-PINN/qapinn_runs_gaaf/checkpoints/MS_burgers_n5_gaaf_s2025.pt,MS,0.05,burgers,gaaf,5,2025,False,,False,1005,3.5806996822357178,2.3865915864007547e-05,2.3865915864007547e-05,1.9498800440942432e-07,2.1916035620961338e-05,nan,0.001767103,1853.0
MS_burgers_n5_gaaf_s777,WISER Results/Phase 2/Djabon Phase 2/Additionnal computations/GAAF-PINN/qapinn_runs_gaaf/checkpoints/MS_burgers_n5_gaaf_s777.pt,MS,0.05,burgers,gaaf,5,777,False,,False,1005,1.9329802989959717,5.507274909177795e-05,5.507274909177795e-05,6.172832627271418e-07,4.889991760137491e-05,nan,0.003332533,1853.0
